,Tên,Hối đoái,Lĩnh vực,Ngành,Vốn Hoá Thị Trường
VIC,Vingroup,HOSE,Bất Động Sản,Hoạt động bất động sản,"1.194,43 NT ₫"
HPG,Hoà Phát,HOSE,Nguyên Liệu Cơ Bản,Kim Loại & Khai Mỏ,"206,47 NT ₫"
GAS,TCT Khí Việt Nam,HOSE,Năng lượng,Khí và Dầu,"170,11 NT ₫"
FPT,FPT,HOSE,Công Nghệ,Dịch Vụ Phần Mềm & CNTT,"157,57 NT ₫"
MWG,Thế giới Di động,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Nhà Bán Lẻ Chuyên Dụng,"128,63 NT ₫"
VNM,Vinamilk,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"128,53 NT ₫"
MSN,Tập đoàn Masan,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"108,88 NT ₫"
GEX,Gelex,HOSE,Các Ngành Công Nghiệp,"Máy Móc, Công Cụ, Xe Tải Hạng Nặng, Tàu Hỏa & Tàu Thủy","38,58 NT ₫"
KDH,Khang Điền,HOSE,Bất Động Sản,Hoạt động bất động sản,"35,97 NT ₫"
REE,TCT Cơ điện lạnh,HOSE,Tiện ích,Công Ty Điện Lực & IPP,"33,2 NT ₫"
PNJ,Vàng bạc Đá quý Phú Nhuận,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Dệt May,"32,72 NT ₫"
KBC,Kinh Bắc,HOSE,Bất Động Sản,Hoạt động bất động sản,"31,27 NT ₫"
MSR,Tài nguyên Masan,HNX,Nguyên Liệu Cơ Bản,Kim Loại & Khai Mỏ,"26,38 NT ₫"
GMD,Gemadept,HOSE,Các Ngành Công Nghiệp,Cơ Sở Hạ Tầng Giao Thông Vận Tải,"25,38 NT ₫"
DGC,Hóa chất Đức Giang,HOSE,Nguyên Liệu Cơ Bản,Hóa Chất,"23,13 NT ₫"
HAG,Hoàng Anh Gia Lai,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"22,69 NT ₫"
