,Unnamed: 0,Tên,Hối đoái,Lĩnh vực,Ngành,Vốn Hoá Thị Trường
49,VSC,Container Việt Nam,HOSE,Các Ngành Công Nghiệp,Cơ Sở Hạ Tầng Giao Thông Vận Tải,"7,54 NT ₫"
50,CMG,Đầu Tư CMC,HOSE,Công Nghệ,Dịch Vụ Phần Mềm & CNTT,"7,39 NT ₫"
51,ANV,Nam Việt,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"7,19 NT ₫"
52,NT2,Dầu khí Nhơn Trạch 2,HOSE,Tiện ích,Công Ty Điện Lực & IPP,"6,95 NT ₫"
53,TMS,Transimex,HOSE,Các Ngành Công Nghiệp,Dịch Vụ Vận Chuyển Hàng Hóa & Hậu Cần,"6,91 NT ₫"
54,HNG,Nông nghiệp HAGL,HNX,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"6,87 NT ₫"
55,NKG,Thép Nam Kim,HOSE,Nguyên Liệu Cơ Bản,Kim Loại & Khai Mỏ,"6,85 NT ₫"
56,VCS,Vicostone,HNX,Hàng Tiêu Dùng Theo Chu Kỳ,Vật Tư Xây Dựng & Công Trình,"6,82 NT ₫"
57,IJC,BecamexIJC,HOSE,Bất Động Sản,Hoạt động bất động sản,"6,77 NT ₫"
58,DHT,Dược Hà Tây,HNX,Y Tế,Dược Phẩm,"6,48 NT ₫"
59,HHV,Đầu tư HTGT Đèo Cả,HOSE,Các Ngành Công Nghiệp,Cơ Sở Hạ Tầng Giao Thông Vận Tải,"6,45 NT ₫"
60,PDN,Cảng Đồng Nai,HOSE,Các Ngành Công Nghiệp,Cơ Sở Hạ Tầng Giao Thông Vận Tải,"6,12 NT ₫"
61,HT1,Xi Măng Hà Tiên,HOSE,Nguyên Liệu Cơ Bản,Vật Liệu Xây Dựng,"5,9 NT ₫"
62,PAN,Tập đoàn Pan,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"5,81 NT ₫"
