ticket,time,g_log,omr,dpoc,lrr,wct,hskd,ht,wod
AAA,2013-03-31,,0.10729786487090957,0.05453959701332851,0.32078523317973684,1.0014638313896354,0.2815208334978921,0.6106256365982,0.8016928461254628
ANV,2013-03-31,,0.04190868663897691,0.0,,0.399707425111373,0.19727145933808557,0.5654600137969779,0.7898938115246591
ASM,2013-03-31,,0.07696911648535051,0.0,,0.3944246667046284,0.17655585024301357,0.42938688900552135,0.7412237728434902
BMP,2013-03-31,,0.24270749020755072,0.05194206904046269,20.40842862369338,0.7939105090343175,0.3048837688727293,0.9213114718953669,0.037345115924232196
CHP,2013-03-31,,0.16748793983747534,0.0,0.0,-0.4841538355114057,0.02121509106770021,0.3556033292550092,0.8930817382777768
CII,2013-03-31,,0.5311417546074614,0.0,-0.0,-0.47203453554200225,0.029233739031582176,0.23848954166510022,0.7339808044108375
CMG,2013-03-31,,0.03965058198977654,0.0,0.0,0.8359704453963618,0.30249008153457974,0.3451235576500056,0.6468255657656877
CTD,2013-03-31,,0.0648057975259599,0.009778292703667946,29.23697198123706,2.5449427225373173,0.2759325360369111,0.5769032977228292,0.0
DBC,2013-03-31,,0.05337778138635427,0.021500490640277415,0.5456751231095793,0.632692481755438,0.324846785112947,0.4359528240369391,0.7848556635685117
DCL,2013-03-31,,0.10719930861202773,0.0,0.0,0.44520982856690244,0.23117321624337955,0.3912790189768868,0.7915406332594328
DHC,2013-03-31,,0.11671191962692683,0.0,0.0,0.8519183268536312,0.22357993299819223,0.4686294144808038,0.8171923164745868
DHG,2013-03-31,,0.18978603660944407,0.023025982358100126,0.20930413092634254,1.800466802616835,0.3094482753630405,0.7031264625298566,0.030215080905032658
DHT,2013-03-31,,0.02456846440374977,0.0,0.0,0.9797007977171939,0.5853016345543168,0.4696868404835448,0.6745742128487562
DIG,2013-03-31,,0.0834151731470573,0.0,0.0,0.08321618431102891,0.03614824258142153,0.46679527309357927,0.4303581217977242
DNP,2013-03-31,,0.04451899733325105,0.05707509458750809,4.217416641779072,0.4771930224324058,0.2418311394546255,0.33068037800517025,0.756875008573737
DPM,2013-03-31,,0.2678611042864124,0.02621352083673651,2.6232541907630993,7.7807603549472475,0.2617747655680213,0.8618599142635439,0.008315348252425277
DPR,2013-03-31,,0.3341487583189175,0.0,0.0,1.035471304772534,0.0891327082695136,0.8132501193527178,0.10994550993104049
DVP,2013-03-31,,0.44303583679580216,0.0,0.0,1.749362157717728,0.1461756788235964,0.7532858631026259,0.7784966972630215
DXG,2013-03-31,,0.037191464561702324,0.02069259592784468,6.989046506690313,0.21473336018474334,0.05075352281857157,0.5522122620451877,0.0028234990996663578
ELC,2013-03-31,,0.039473203768863555,0.0,0.0,0.5147576863257136,0.11389261968425829,0.7083262249198885,0.03832261792942537
FPT,2013-03-31,,0.06986843153747924,0.013196200139915036,0.3999215063220333,2.3518003889086745,0.6209686344955464,0.4643880134005918,0.38004598580182974
GAS,2013-03-31,,0.3132113123401209,0.06345076371961403,1.9056737576174998,6.880517418485509,0.3632419459350005,0.6539437748383851,0.520108406665297
GEX,2013-03-31,,0.081837409765146,0.0,0.0,1.270142625974333,0.32806866111681937,0.41491295243679965,0.31998996506733585
GMD,2013-03-31,,0.24438205298896415,0.08410997779391993,-11.058691754336692,0.7600211010609793,0.1074955049052648,0.640933310665951,0.5583241627904163
HAG,2013-03-31,,0.2922252029968358,0.14774836758649082,0.06746179497459831,0.09725753418691123,0.024459498256004738,0.3041982373478149,0.7548277685300957
HDC,2013-03-31,,0.36219880524347836,0.0,-0.0,0.051459696739333025,0.033360183300342613,0.43738653451224613,0.5939611426005178
HDG,2013-03-31,,0.0855668211928845,0.03802504729529925,1.2133232601646984,0.25238666921189135,0.0780293566960728,0.3448016775564185,0.2844279575161417
HGM,2013-03-31,,0.5994614011770648,0.07704893455894211,1.0163091966345976,-39.393014781654585,0.1473776877319533,0.9182390131675547,0.0
HHS,2013-03-31,,0.17424143394451125,0.0012504094825433866,,-2.827936256491383,0.16696774904855627,0.6209865419409742,0.0
HPG,2013-03-31,,0.15932050108343615,0.04396610657201205,0.15536913491287538,0.6215911088298631,0.2137452715755644,0.470613806977245,0.5976036082436609
HSG,2013-03-31,,0.12276245871538054,0.03114775424676431,0.3651481767587945,1.1269529856756797,0.41257289889846555,0.35569695230473175,0.7428922891889841
HT1,2013-03-31,,0.18154074181489155,0.15180147616701098,2.516699670368384,4.764199465626406,0.09090384255224374,0.1426582247547777,0.8729110021861954
HUT,2013-03-31,,0.01718295904425334,0.0,0.0,0.5947576884017652,0.11123647304864911,0.1417362768137633,0.5378214317598909
IJC,2013-03-31,,0.29820535051784325,0.14449766862765792,0.48898275389420687,0.042885502761440174,0.01836614172775408,0.6574940200988239,0.3643388485035022
IMP,2013-03-31,,0.14654098099991789,0.049135738786410525,1.5271169735165706,0.5415253810086762,0.22540146018835405,0.8635836246993015,0.0
KBC,2013-03-31,,0.30503232168095273,0.18870433877436987,-7.832446678848283,0.007648439631208455,0.0045801389925562265,0.333325344644912,0.5104116856006083
KDC,2013-03-31,,0.07121050983890716,0.056154560556578435,0.5999667989755745,1.4706617971892755,0.1368524746281699,0.7531639039573736,0.5184904662225063
KDH,2013-03-31,,0.13410406244087428,0.032803394460324035,1.105160176152786,0.07214361037475277,0.05107093094169285,0.46832147203102126,0.546340356581587
LGC,2013-03-31,,0.1527817832427055,0.0,0.0,0.7966989892368648,0.07181804616331909,0.4136612017541413,0.7339233841452543
