,theta_mom,theta_me,theta_btm,,,,,
0,0.06806009676838348,0.006501271950900618,0.03828123418377494,,,,,
1,0.06806009676838348,0.006501271950900618,0.03828123418377494,,,,,
2,0.07920028562925588,-0.003429848,-0.009128963,,,,,
3,0.0678933847995263,0.002493366231476929,0.034988165397235774,,,,,
4,0.0678933847995263,0.002493366231476929,0.034988165397235774,,,,,
5,0.06102082860081519,-0.013638181,0.04926162459205595,,,,,
6,0.05133652072137542,-0.049444605,0.04102308610948527,,,,,
7,0.035827921731937815,-0.046958159,0.054508319768428085,,,,,
8,0.035827921731937815,-0.046958159,0.054508319768428085,,,,,
9,0.035827921731937815,-0.046958159,0.054508319768428085,,,,,
10,0.014338379577539667,-0.069911303,0.07937440097028324,,,,,
11,0.014338379577539667,-0.069911303,0.07937440097028324,,,,,
12,-0.01355917,-0.057257414,0.07725164547561832,,,,,
13,-0.054773564,-0.025815237,0.08098026794588223,,,,,
14,-0.073743423,-0.066614133,0.027356354663054208,,,,,
15,-0.073743423,-0.066614133,0.027356354663054208,,,,,
16,-0.073743423,-0.066614133,0.027356354663054208,,,,,
17,-0.073175698,-0.056831961,0.003630797915573629,,,,,
18,-0.073365089,-0.064238641,0.015102208639384147,,,,,
19,-0.065892218,-0.027748961,0.052258011599159514,,,,,
20,-0.07116055,-0.022842614,0.06105628954909194,,,,,
21,-0.047594631,-0.022091413,0.08866084479618672,,,,,
22,-0.047594631,-0.022091413,0.08866084479618672,,,,,
23,-0.047594631,-0.022091413,0.08866084479618672,,,,,
24,-0.028816343,-0.014937699,0.09732095547548023,,,,,
25,-0.003963275,0.038622089807883536,0.07133277683473178,,,,,
26,0.026803373385970553,0.06516544746279868,0.1208884701579395,,,,,
27,0.003018729583923796,0.06057630145951253,0.13265689406369832,,,,,
28,0.04569265736260083,0.021899358764977776,0.11780923535709778,,,,,
29,0.019157065384151458,0.01672598697488106,0.11827462892736351,,,,,
30,0.019157065384151458,0.01672598697488106,0.11827462892736351,,,,,
31,0.0484636705930874,-0.001102821,0.07005913863245804,,,,,
32,0.0484636705930874,-0.001102821,0.07005913863245804,,,,,
33,0.03440485771734237,0.029061564860053554,0.10484024579805959,,,,,
34,-0.003420086,-0.013249132,0.05774929836347562,,,,,
35,0.004776270477267395,0.00216441447236845,0.04224310307553229,,,,,
36,0.04153329794746831,-0.03062857,0.010475334854962992,,,,,
37,0.04153329794746831,-0.03062857,0.010475334854962992,,,,,
38,0.028960503442810696,-0.019937706,0.04598547152698229,,,,,
39,0.028960503442810696,-0.019937706,0.04598547152698229,,,,,
40,0.028960503442810696,-0.019937706,0.04598547152698229,,,,,
41,0.028960503442810696,-0.019937706,0.04598547152698229,,,,,
42,0.028960503442810696,-0.019937706,0.04598547152698229,,,,,
43,0.028960503442810696,-0.019937706,0.04598547152698229,,,,,
44,0.028960503442810696,-0.019937706,0.04598547152698229,,,,,
45,0.028960503442810696,-0.019937706,0.04598547152698229,,,,,
46,0.028960503442810696,-0.019937706,0.04598547152698229,,,,,
