,AAA,ANV,ASM,BMP,CHP,CII,CMG,CTD,DBC,DCL,DHC,DHG,DHT,DIG,DNP,DPM,DPR,DVP,DXG,ELC,FPT,GAS,GEX,GMD,HAG,HDC,HDG,HGM,HHS,HPG,HSG,HT1,HUT,IJC,IMP,KBC,KDC,KDH,LGC,MSN,NKG,NLG,NT2,NTP,PAN,PDN,PDR,PET,PGS,PHR,PNJ,PPC,PTB,PVD,PVS,PVT,QCG,REE,SAM,SBT,SCR,SHP,SJS,STG,TCM,TLG,TMP,TMS,TRA,TVN,VC3,VCF,VCG,VCS,VHC,VIC,VNM,VSC,VSH,DGC,MWG,SWC,CEO,CSV,DCM,DGW,HNG,VGC,DDV,MSR,SAS,VEF,TBD,HHV
HGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3757
HHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,,,,,,,0.5204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSG,,,,,,,,,,,,,,,,,0.5564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4791,,,,,,,,,,,,,,,,,,
IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDH,,,,,,,,,,,,,0.5127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGC,,,,,,,,,,,,,,,,,,,,,,,,,0.5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5079,,,,,,
NT2,,,,,,0.4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
